tweet.id,user.id,dataset.author.name,majority_polarity,text,moralbert,roberta_mmp,roberta_mm,liwc_mfd,persp_bert,moral_label,moral_label_polarity,moral_label2
936469851,10323542,drgilpin,neg,Watching by myself  #tweetdebate Not drinking :( waiting to start cringing at McCains blunders,nonmoral,nonmoral,nonmoral,nonmoral,nonmoral,nonmoral,no moral,nonmoral
936470432,11752272,starweaver,neg,"@ahg3 @MichDot Yeah, slime was actually my second choice, can't say what the first one was. Okay, we're rolling...",nonmoral,nonmoral,nonmoral,purity,loyalty,nonmoral,no moral,nonmoral
936472030,716543,kyeung808,neg,Preparing to have a heart attack #tweetdebate,purity,nonmoral,nonmoral,care,nonmoral,nonmoral,degradation,nonmoral
936472042,14759482,rebot,neg,"no debate moderators under 50, sorry  #tweetdebate",nonmoral,nonmoral,nonmoral,nonmoral,nonmoral,nonmoral,no moral,nonmoral
936472907,6035262,Karoli,neg,@current Now staring at black screen on http://www.current.com/debate  grrrrrrrrrrrrrrr  #current,nonmoral,nonmoral,nonmoral,nonmoral,fairness,nonmoral,no moral,nonmoral
936472928,9075622,Nicolas Ward,neg,Introducing McCain and Obama. Wait...McCain SHOWED UP! Wow...guess the crisis in Washington is over? #tweetdebate,nonmoral,nonmoral,nonmoral,nonmoral,care,nonmoral,no moral,nonmoral
936474032,11765872,kellyrfeller,neg,#tweetdebate nice how Obama held McCains hand and used his free hand to wave to the audience while keeping McCain from doing so,nonmoral,nonmoral,nonmoral,nonmoral,fairness,nonmoral,no moral,nonmoral
936475544,808758,jas_aiken,neg,Obama -2 it an occupation not war #tweetdebate,nonmoral,fairness,nonmoral,loyalty,authority,nonmoral,no moral,nonmoral
936476318,12271492,barbaranixon,neg,"@TDefren  I'm very nervous, yes #tweetdebate",nonmoral,nonmoral,nonmoral,nonmoral,authority,nonmoral,no moral,nonmoral
936476394,1221471,guiambros,neg,#tweetdebate no golden parachutes no padding CEOs - Obama,nonmoral,nonmoral,nonmoral,nonmoral,authority,nonmoral,no moral,nonmoral
936477914,13918302,AlbertMaruggi,neg,Q for Obama. Does the avg American know what a golden parachute is?  #tweetdebate,nonmoral,nonmoral,nonmoral,nonmoral,loyalty,nonmoral,no moral,nonmoral
936478426,9075622,themurmish,neg,McCain just gave a cheap plug to Ed Kennedy -1 #tweetdebate #current,nonmoral,nonmoral,authority,nonmoral,loyalty,nonmoral,no moral,nonmoral
936478519,10450342,TopDogVienna,neg,@current current channel reception is continually sucking. Gotta love comcast,nonmoral,nonmoral,nonmoral,care,loyalty,nonmoral,no moral,nonmoral
936478533,11765872,kdpaine,neg,McCain -3 for Kenndey comment #tweetdebate,nonmoral,nonmoral,nonmoral,nonmoral,nonmoral,nonmoral,no moral,nonmoral
936478667,14935605,dabloguiman,neg,McCain -2 for not knowing Kennedy is home and watching the debate  #tweetdebate,nonmoral,nonmoral,nonmoral,nonmoral,nonmoral,nonmoral,no moral,nonmoral
936479031,14570089,daveevans,neg,#tweetdebate McCain starts awkwardly,nonmoral,nonmoral,nonmoral,nonmoral,nonmoral,nonmoral,no moral,nonmoral
936479038,10846482,KennyL,neg,-1 McCain for stalling with faux sympathy #tweetdebate,nonmoral,loyalty,nonmoral,care,nonmoral,nonmoral,no moral,nonmoral
936479425,12884962,TopDogVienna,neg,@andrewa121 I only get OTA HD with my EyeTV 500.,nonmoral,nonmoral,nonmoral,nonmoral,loyalty,nonmoral,no moral,nonmoral
936480648,9075622,ferret67,neg,McCain is talking about bipartisan negotiation? Uh...no... -1 pt. #tweetdebate #current,nonmoral,nonmoral,nonmoral,nonmoral,authority,nonmoral,no moral,nonmoral
936481104,980611,kdpaine,neg,"dear john, they were sitting down till you came and stirred up a hornets' nest. pulease -4 #tweetdebate",nonmoral,nonmoral,authority,nonmoral,care,nonmoral,no moral,nonmoral
936481174,12884962,PinkOliveFamily,neg,@andrewa121 He looks and sounds pretty tired.,nonmoral,nonmoral,nonmoral,nonmoral,fairness,nonmoral,no moral,nonmoral
936481635,10450342,xylem,neg,@current Or its the beginning of the end of the beginning of the end.. Sheesh.,nonmoral,nonmoral,nonmoral,nonmoral,fairness,nonmoral,no moral,nonmoral
936481733,14935605,Duhh,neg,McCain -2 for a totally muddled answer on what the republicans are doing #tweetdebate,nonmoral,nonmoral,nonmoral,nonmoral,nonmoral,nonmoral,no moral,nonmoral
936482365,7862582,gwfrink3,neg,McCain: this is the end of the beginning. huh? #tweetdebate,nonmoral,nonmoral,nonmoral,nonmoral,fairness,nonmoral,no moral,nonmoral
936482757,808758,mhorta,neg,McCain -2 gving credit to house republicans #tweetdebate,nonmoral,nonmoral,nonmoral,nonmoral,nonmoral,nonmoral,no moral,nonmoral
936482834,1040391,thunderberry,neg,-1 McCain all over the place in his answer #tweetdebate,nonmoral,nonmoral,nonmoral,nonmoral,fairness,nonmoral,no moral,nonmoral
936482946,12046252,CarriBugbee,neg,"Nice, McLame divides...Republicans uniquely came to fix it. Um, ok. #tweetdebate",nonmoral,nonmoral,nonmoral,nonmoral,care,nonmoral,no moral,nonmoral
936482963,1196381,lulu_81,neg,"if ur oldest candidate in history, why start with ""i'm not feeling great"" .. makes u thing ""you're not looking great either #tweetdebate",nonmoral,nonmoral,nonmoral,nonmoral,loyalty,nonmoral,no moral,nonmoral
936483317,14717846,CarriBugbee,neg,"Obama: 1 , McCain 0 : McCain didn't answer the question #tweetdebate",nonmoral,nonmoral,nonmoral,nonmoral,fairness,nonmoral,no moral,nonmoral
936483373,14935605,johnmccrory,neg,Obama -1 for answering a different question #tweetdebate,nonmoral,nonmoral,nonmoral,nonmoral,nonmoral,nonmoral,no moral,nonmoral
936484325,9806742,aeditor,neg,McCain -1 for bringing in Kennedy for emotional effect #tweetdebate,nonmoral,nonmoral,nonmoral,nonmoral,nonmoral,nonmoral,no moral,nonmoral
936484477,14776451,Andrew K. Gay,neg,#tweetdebate greed is how we got into this situation in the first place,nonmoral,nonmoral,fairness,nonmoral,fairness,fairness,no moral,nonmoral
936485730,11765872,TopDogVienna,neg,"McCain -2 ""Are you gonna vote for the plan?"" - ""I hope so"" whatte fuck?! #tweetdebate",nonmoral,authority,loyalty,purity,loyalty,loyalty,no moral,authority
936486069,9806742,fritzpw,neg,McCain -1 for failing to meaningfully answer the question on economy #tweetdebate,nonmoral,fairness,nonmoral,nonmoral,fairness,nonmoral,no moral,nonmoral
936487064,808758,FrancesFlynnTho,neg,McCain -1 improper analogy #tweetdebate,nonmoral,fairness,nonmoral,nonmoral,fairness,nonmoral,no moral,nonmoral
936489753,14813827,melrp,neg,"#tweetdebate -1 McCain ""we saw these problems coming"" I thought the economy was fundamentally sound",nonmoral,nonmoral,nonmoral,nonmoral,fairness,nonmoral,no moral,nonmoral
936490257,13918302,PinkOliveFamily,neg,Already tired of the Wall Street v Main Street analogies. #tweetdebate,nonmoral,nonmoral,nonmoral,nonmoral,care,nonmoral,no moral,nonmoral
936490363,8514952,mysweetlife,neg,how annoying are these animations on #Current TV.. reverting to old fashion MSNBC.. #tweetdebate,purity,nonmoral,nonmoral,nonmoral,care,nonmoral,degradation,nonmoral
936490983,10450342,Wading4U,neg,"@current #current How can you say ""I hope so"" when you are asked the question of voting for something? You should know what yer view is!",nonmoral,nonmoral,nonmoral,nonmoral,loyalty,nonmoral,no moral,nonmoral
936491702,14717846,c4chaos,neg,"""John, ten days ago you said the fundamentals of the economy were strong"" Hilarious #tweetdebate #current",nonmoral,nonmoral,nonmoral,nonmoral,fairness,nonmoral,no moral,nonmoral
936491945,806323,Scott_Drummond,neg,McCain -1 for wearing a tie that makes my eyes sore. #tweetdebate,nonmoral,nonmoral,nonmoral,nonmoral,care,nonmoral,no moral,nonmoral
936492695,14935605,Duhh,neg,McCain -1 for a total non-answer #tweetdebate,nonmoral,fairness,nonmoral,nonmoral,nonmoral,nonmoral,no moral,nonmoral
936613663,14392603,Populista,neg,#tweetdebate,nonmoral,nonmoral,nonmoral,nonmoral,care,nonmoral,no moral,nonmoral
936624853,16480248,Delia_Pickles,pos,#tweetdebate,nonmoral,nonmoral,nonmoral,nonmoral,care,nonmoral,no moral,nonmoral
936493024,7752402,fritzpw,neg,Funny if they looked at each other I think the talking points would disappear and they might even be constructive #tweetdebate,nonmoral,nonmoral,nonmoral,nonmoral,care,nonmoral,no moral,nonmoral
936493427,816247,gwfrink3,neg,"Really tired of hearing the word ""mainstreet"" in the debate #tweetdebate",nonmoral,nonmoral,nonmoral,nonmoral,care,nonmoral,no moral,nonmoral
936493784,808758,mabraham1,neg,McCain -2 import/export claim? #tweetdebate,nonmoral,nonmoral,nonmoral,nonmoral,nonmoral,nonmoral,no moral,nonmoral
936493874,11765872,vanhoosear,neg,McCain -2 Wrong Germany is the biggest exporter. Get your facts together! #tweetdebate,nonmoral,nonmoral,loyalty,loyalty,fairness,loyalty,no moral,loyalty
936494362,1196381,vanhoosear,neg,"#tweetdebate -1 Mccain for not answering the question and saying ""the wall street""   between the eyeblinking +hesitation he looks weird",nonmoral,nonmoral,nonmoral,nonmoral,fairness,nonmoral,no moral,nonmoral
936495826,7057642,rmonge4surf,neg,McCain is not answering the questions  #tweetdebate,nonmoral,nonmoral,nonmoral,nonmoral,fairness,nonmoral,no moral,nonmoral
