tweet.id	majority_polarity
936469851	neg
936470432	neg
936472030	neg
936472042	neg
936472907	neg
936472928	neg
936474032	neg
936475544	neg
936476318	neg
936476394	neg
936477914	neg
936478426	neg
936478519	neg
936478533	neg
936478667	neg
936479031	neg
936479038	neg
936479425	neg
936480648	neg
936480659	neg
936481104	neg
936481174	neg
936481635	neg
936481733	neg
936482365	neg
936482757	neg
936482834	neg
936482946	neg
936482963	neg
936483317	neg
936483373	neg
936484325	neg
936484477	neg
936485730	neg
936486069	neg
936487064	neg
936487524	neg
936489753	neg
936490257	neg
936490363	neg
936490983	neg
936491702	neg
936491945	neg
936492695	neg
936493022	neg
936493024	neg
936493427	neg
936493694	neg
936493784	neg
936493874	neg
936494071	neg
936494362	neg
936495826	neg
936495855	neg
936495925	neg
936495994	neg
936496070	neg
936496087	neg
936496331	neg
936496497	neg
936497173	neg
936498255	neg
936498451	neg
936501351	neg
936501672	neg
936502132	neg
936502843	neg
936503059	neg
936503722	neg
936504075	neg
936504189	neg
936504345	neg
936504394	neg
936504405	neg
936504460	neg
936504555	neg
936504645	neg
936505751	neg
936505804	neg
936505931	neg
936506398	neg
936506977	neg
936507300	neg
936507871	neg
936508054	neg
936508498	neg
936509631	neg
936509810	neg
936509870	neg
936509906	neg
936509924	neg
936509930	neg
936509958	neg
936510098	neg
936511016	neg
936511049	neg
936511288	neg
936512032	neg
936513239	neg
936513359	neg
936513363	neg
936513493	neg
936514134	neg
936514698	neg
936514798	neg
936515553	neg
936515629	neg
936516081	neg
936516280	neg
936516523	neg
936517349	neg
936517836	neg
936518439	neg
936519680	neg
936520097	neg
936520256	neg
936520938	neg
936521361	neg
936521419	neg
936521570	neg
936522104	neg
936522152	neg
936522501	neg
936523073	neg
936523206	neg
936523593	neg
936523703	neg
936524002	neg
936524077	neg
936524912	neg
936525016	neg
936525121	neg
936525158	neg
936525661	neg
936526171	neg
936526239	neg
936526672	neg
936526932	neg
936527240	neg
936528118	neg
936529425	neg
936529775	neg
936529789	neg
936530170	neg
936530910	neg
936531219	neg
936531236	neg
936531392	neg
936531490	neg
936531637	neg
936531665	neg
936532209	neg
936532362	neg
936532467	neg
936533195	neg
936533757	neg
936534020	neg
936534217	neg
936534459	neg
936534522	neg
936534564	neg
936534603	neg
936535256	neg
936535451	neg
936535852	neg
936536294	neg
936536309	neg
936536704	neg
936537134	neg
936537270	neg
936537359	neg
936537706	neg
936537942	neg
936538123	neg
936538172	neg
936538267	neg
936538469	neg
936539583	neg
936539673	neg
936539703	neg
936539719	neg
936539862	neg
936539999	neg
936540200	neg
936540669	neg
936540678	neg
936540794	neg
936541140	neg
936541482	neg
936541891	neg
936542005	neg
936542185	neg
936542398	neg
936542561	neg
936542683	neg
936543097	neg
936543249	neg
936543271	neg
936543286	neg
936543559	neg
936543600	neg
936543977	neg
936544036	neg
936544574	neg
936544832	neg
936545335	neg
936546678	neg
936547829	neg
936548677	neg
936549139	neg
936550076	neg
936550405	neg
936552579	neg
936552996	neg
936553058	neg
936553597	neg
936554015	neg
936554313	neg
936554428	neg
936554650	neg
936554755	neg
936555867	neg
936556493	neg
936557607	neg
936557653	neg
936558119	neg
936558679	neg
936558772	neg
936558803	neg
936558853	neg
936559729	neg
936560030	neg
936560050	neg
936560842	neg
936561478	neg
936561775	neg
936565820	neg
936566918	neg
936567418	neg
936567570	neg
936567789	neg
936568741	neg
936569525	neg
936569848	neg
936571018	neg
936571439	neg
936571575	neg
936571858	neg
936572830	neg
936573383	neg
936574106	neg
936574261	neg
936574295	neg
936574326	neg
936574487	neg
936575109	neg
936576107	neg
936577123	neg
936577247	neg
936577256	neg
936577340	neg
936577670	neg
936578290	neg
936578788	neg
936579346	neg
936579936	neg
936580146	neg
936580152	neg
936580398	neg
936580404	neg
936580738	neg
936580781	neg
936580847	neg
936580933	neg
936580936	neg
936581578	neg
936582335	neg
936582539	neg
936582748	neg
936583244	neg
936584213	neg
936584515	neg
936584620	neg
936584632	neg
936586433	neg
936586515	neg
936586551	neg
936586603	neg
936586672	neg
936586918	neg
936587205	neg
936587394	neg
936587738	neg
936587818	neg
936587852	neg
936587916	neg
936588272	neg
936588620	neg
936588708	neg
936588728	neg
936588761	neg
936589273	neg
936589278	neg
936589390	neg
936589664	neg
936589772	neg
936589979	neg
936590042	neg
936590074	neg
936590378	neg
936590394	neg
936590629	neg
936590651	neg
936590714	neg
936590759	neg
936590918	neg
936591013	neg
936591424	neg
936591698	neg
936591776	neg
936591783	neg
936591842	neg
936591977	neg
936592139	neg
936592194	neg
936593224	neg
936593492	neg
936593667	neg
936593808	neg
936594102	neg
936594215	neg
936595697	neg
936596052	neg
936596181	neg
936596603	neg
936597856	neg
936598221	neg
936598633	neg
936598740	neg
936598846	neg
936600225	neg
936600759	neg
936601257	neg
936602021	neg
936602394	neg
936602600	neg
936603339	neg
936604124	neg
936604137	neg
936604698	neg
936604844	neg
936605268	neg
936605482	neg
936606020	neg
936606474	neg
936607067	neg
936607375	neg
936607864	neg
936608140	neg
936608354	neg
936608485	neg
936608774	neg
936609172	neg
936609255	neg
936609351	neg
936609484	neg
936609552	neg
936610166	neg
936611143	neg
936611151	neg
936611495	neg
936611502	neg
936612517	neg
936613220	neg
936613787	neg
936615840	neg
936616233	neg
936617146	neg
936617445	neg
936617809	neg
936618178	neg
936618522	neg
936618956	neg
936618992	neg
936619097	neg
936620088	neg
936621283	neg
936621721	neg
936622093	neg
936622406	neg
936622974	neg
936623067	neg
936623537	neg
936624048	neg
936624829	neg
936626003	neg
936627272	neg
936627620	neg
936629197	neg
936630035	neg
936630639	neg
936630975	neg
936631069	neg
936631295	neg
936631442	neg
936631828	neg
