tweet.id,user.id,author.nickname,sentiment,target,text,moralbert,roberta_mmp,roberta_mm,liwc_mfd,persp_bert,moral_label,moral_label_polarity,moral_label2
10830146586,18767699,CBSNewsHotSheet,neutral,hcr,"Despite reports, Pelosi aides say Rep. Stupak is not a ''yes'' vote yet. #hcr",nonmoral,nonmoral,nonmoral,nonmoral,fairness,nonmoral,no moral,nonmoral
10829805730,756018,jdcoffman,negative,dems,Looks like Pelosi is getting ready to play whack-a-mole with her giant gavel #hcr,nonmoral,nonmoral,authority,nonmoral,fairness,nonmoral,no moral,nonmoral
10830200492,24608909,Lizzs_Lockeroom,positive,hcr,It is great to know that there are people who care about #HCR and not what's going on in #Tigersbedroom ....,care,care,loyalty,care,care,care,care,care
10829105860,20592516,Azbats,positive,hcr,3/21 the anniversary of my mother's death. Ins. refused her meds to help digestion probs caused by her pancreatic ca. /via @jillosopher #HCR,nonmoral,nonmoral,nonmoral,care,care,care,no moral,nonmoral
10829610415,14144520,BobBrigham,positive,hcr,Contact @LorettaSanchez CoS & urge YES on #HCR. adriene.elrod@mail.house.gov pls rt 202-225-2965,nonmoral,nonmoral,nonmoral,nonmoral,loyalty,nonmoral,no moral,nonmoral
10830265628,29834225,DanxMcGowan,negative,conservatives,These guys are straight up parroting Glenn Beck about Obama and socialism. Fucking idjits. #tcot #hcr  #obama,nonmoral,nonmoral,authority,nonmoral,fairness,nonmoral,no moral,nonmoral
10827492775,14483334,blakerutherford,negative,gop,"RT @Gabe_Holmstrom: If R's were as concerned about #hcr as they now say, why didn't they do anything about it when they were in control?",nonmoral,authority,nonmoral,authority,fairness,authority,authority,authority
10830232206,16289988,MississippiMama,neutral,hcr,RT @MediaLizzy: STUPAK office recording yeas & nays of callers on #hcr bill - PLS call 202.225.4735 #killthebill,nonmoral,nonmoral,nonmoral,nonmoral,care,nonmoral,no moral,nonmoral
10830089102,6980622,MediaLizzy,neutral,hcr,STUPAK office recording yeas & nays of callers on #hcr bill - PLS call 202.225.4735 #tcot #sgp #rfvradio,nonmoral,nonmoral,nonmoral,nonmoral,loyalty,nonmoral,no moral,nonmoral
10830366879,55329156,RNCResearch,negative,hcr,"RT @NRCC: Brian #Baird's (D, #WA03) `YES' vote on #hcr takeover likely to hurt Dems vying to succeed him #gopcodered",nonmoral,nonmoral,care,care,loyalty,care,no moral,care
